"Year","site","Transect","lat","long","depth","algal_turf","macroalgae","turf_prod_kghaday_med","turf_prod_kghaday_lhd","turf_prod_kghaday_uhd","macr_prod_kghaday_med","macr_prod_kghaday_lhd","macr_prod_kghaday_uhd"
2011,"tiahura",3,-17.48283333,-149.8994444,12.32999992,0.94,0,6.88062809972671,5.56670054264079,8.08295458638589,0,0,0
2012,"afareaitu",1,-17.56918333,-149.7840833,8.93999958,0.94,0,7.59289831948135,6.46331767049376,8.60556938419242,0,0,0
2012,"afareaitu",2,-17.56918333,-149.7840833,8.93999958,0.96,0,7.75444934755542,6.60083506773831,8.78866660513268,0,0,0
2012,"afareaitu",3,-17.56918333,-149.7840833,8.93999958,0.86,0,6.94669420718507,5.91324808151557,7.87318050043136,0,0,0
2012,"aroa",1,-17.47075,-149.7774,5.940000057,0.84,0,7.57867884381713,6.78473585802853,8.42519483457091,0,0,0
2012,"aroa",2,-17.47075,-149.7774,5.940000057,0.74,0.02,6.67645517193414,5.97702920826323,7.42219544950294,0.0182718983144173,0.0145908996783083,0.0219522266082217
2012,"aroa",3,-17.47075,-149.7774,5.940000057,0.88,0.04,7.93956831257032,7.10781851793465,8.8263945885981,0.0365437966288345,0.0291817993566166,0.0439044532164434
2012,"entre_2_baies",1,-17.47553333,-149.8370333,5.980000019,0.96,0,8.6459397529746,7.71436477304023,9.59476208116005,0,0,0
2012,"entre_2_baies",2,-17.47553333,-149.8370333,5.980000019,0.88,0,7.92544477356005,7.07150104195355,8.79519857439672,0,0,0
2012,"entre_2_baies",3,-17.47553333,-149.8370333,5.980000019,0.94,0.02,8.46581600812097,7.55364884026856,9.39487120446922,0.0182718983144173,0.0145908996783083,0.0219522266082217
2012,"gendron",1,-17.4995,-149.9275667,11.80000019,0.8,0.04,5.93879288253533,4.84915371789386,6.94183477348223,0.0365437966288345,0.0291817993566166,0.0439044532164434
2012,"gendron",2,-17.4995,-149.9275667,11.80000019,0.76,0.04,5.64185323840857,4.60669603199917,6.59474303480812,0.0365437966288345,0.0291817993566166,0.0439044532164434
2012,"gendron",3,-17.4995,-149.9275667,11.80000019,0.88,0.02,6.53267217078887,5.33406908968325,7.63601825083045,0.0182718983144173,0.0145908996783083,0.0219522266082217
2012,"haapiti",1,-17.55438333,-149.8977333,8.079999924,0.46,0,3.82505796651939,3.30808551725731,4.30839028316111,0,0,0
2012,"haapiti",2,-17.55438333,-149.8977333,8.079999924,0.54,0,4.49028543895755,3.88340473764989,5.05767554979783,0,0,0
2012,"haapiti",3,-17.55438333,-149.8977333,8.079999924,0.44,0,3.65875109840986,3.16425571215917,4.12106896650194,0,0,0
2012,"maatea",1,-17.5962,-149.7945,6.739999771,0.7,0,6.1116642485596,5.37886938204175,6.80873225007105,0,0,0
2012,"maatea",2,-17.5962,-149.7945,6.739999771,0.64,0,5.58780731296878,4.9178234350096,6.22512662863639,0,0,0
2012,"maatea",3,-17.5962,-149.7945,6.739999771,0.72,0,6.28628322708987,5.5325513643858,7.00326745721594,0,0,0
2012,"motu_ahi",1,-17.54446667,-149.7755667,15,0.9,0,6.18230328201107,4.67613505704818,7.29081951125657,0,0,0
2012,"motu_ahi",2,-17.54446667,-149.7755667,15,0.96,0,6.59445683414514,4.98787739418473,7.77687414534034,0,0,0
2012,"motu_ahi",3,-17.54446667,-149.7755667,15,0.9,0,6.18230328201107,4.67613505704818,7.29081951125657,0,0,0
2012,"nuarei",1,-17.50063333,-149.75465,10.59000015,0.86,0,6.60670332926072,5.46341228739161,7.58699394182387,0,0,0
2012,"nuarei",2,-17.50063333,-149.75465,10.59000015,0.96,0,7.37492464661661,6.09869278592552,8.46920253971036,0,0,0
2012,"nuarei",3,-17.50063333,-149.75465,10.59000015,0.86,0,6.60670332926072,5.46341228739161,7.58699394182387,0,0,0
2012,"pihaena",1,-17.4766,-149.8290333,8.18999958,1,0,8.2863323119516,7.15624599389935,9.33782968763205,0,0,0
2012,"pihaena",2,-17.4766,-149.8290333,8.18999958,0.98,0,8.12060566571256,7.01312107402136,9.15107309387941,0,0,0
2012,"pihaena",3,-17.4766,-149.8290333,8.18999958,0.88,0.06,7.2919724345174,6.29749647463143,8.2172901251162,0.0548156949432518,0.0437726990349248,0.065856679824665
2012,"taotaha",1,-17.53336667,-149.9188167,13.60999966,0.82,0.02,5.81320082041935,4.51106785702901,6.80508306449555,0.0182718983144173,0.0145908996783083,0.0219522266082217
2012,"taotaha",2,-17.53336667,-149.9188167,13.60999966,0.78,0.02,5.52963004869158,4.29101576644223,6.47312779305674,0.0182718983144173,0.0145908996783083,0.0219522266082217
2012,"taotaha",3,-17.53336667,-149.9188167,13.60999966,0.86,0,6.09677159214713,4.73111994761579,7.13703833593436,0,0,0
2012,"temae",1,-17.50675,-149.7599667,10.21000004,0.94,0.02,7.30134421361967,6.07544599116103,8.35184100065702,0.0182718983144173,0.0145908996783083,0.0219522266082217
2012,"temae",2,-17.50675,-149.7599667,10.21000004,0.88,0,6.83530096594182,5.68765156619331,7.81874476657253,0,0,0
2012,"temae",3,-17.50675,-149.7599667,10.21000004,0.94,0,7.30134421361967,6.07544599116103,8.35184100065702,0,0,0
2012,"tetaiuo",1,-17.50521667,-149.9275333,15,0.7,0,4.80845810823083,3.6369939332597,5.670637397644,0,0,0
2012,"tetaiuo",2,-17.50521667,-149.9275333,15,0.52,0.04,3.57199745182862,2.70176692185006,4.21247349539268,0.0365437966288345,0.0291817993566166,0.0439044532164434
2012,"tetaiuo",3,-17.50521667,-149.9275333,15,0.84,0.04,5.770149729877,4.36439271991163,6.8047648771728,0.0365437966288345,0.0291817993566166,0.0439044532164434
2012,"tiahura",1,-17.48283333,-149.8994444,12.32999992,0.94,0.02,6.88062809972671,5.56670054264079,8.08295458638589,0.0182718983144173,0.0145908996783083,0.0219522266082217
2012,"tiahura",2,-17.48283333,-149.8994444,12.32999992,0.92,0,6.73423175717934,5.44826010556333,7.91097682922874,0,0,0
2012,"tiahura",3,-17.48283333,-149.8994444,12.32999992,0.84,0.02,6.14864638698983,4.97449835725347,7.22306580060016,0.0182718983144173,0.0145908996783083,0.0219522266082217
2013,"afareaitu",1,-17.56918333,-149.7840833,8.93999958,0.94,0,7.59289831948135,6.46331767049376,8.60556938419242,0,0,0
2013,"afareaitu",2,-17.56918333,-149.7840833,8.93999958,0.96,0,7.75444934755542,6.60083506773831,8.78866660513268,0,0,0
2013,"afareaitu",3,-17.56918333,-149.7840833,8.93999958,0.9,0,7.26979626333321,6.18828287600467,8.23937494231189,0,0,0
2013,"aroa",1,-17.47075,-149.7774,5.940000057,0.7,0.12,6.31556570318094,5.65394654835711,7.02099569547576,0.109631389886504,0.0875453980698497,0.13171335964933
2013,"aroa",2,-17.47075,-149.7774,5.940000057,0.66,0.08,5.95467623442774,5.33086388845099,6.61979594144857,0.073087593257669,0.0583635987132331,0.0878089064328867
2013,"aroa",3,-17.47075,-149.7774,5.940000057,0.62,0.18,5.59378676567455,5.00778122854487,6.21859618742139,0.164447084829755,0.131318097104775,0.197570039473995
2013,"entre_2_baies",1,-17.47553333,-149.8370333,5.980000019,0.88,0.06,7.92544477356005,7.07150104195355,8.79519857439672,0.0548156949432518,0.0437726990349248,0.065856679824665
2013,"entre_2_baies",2,-17.47553333,-149.8370333,5.980000019,0.66,0.06,5.94408358017004,5.30362578146516,6.59639893079754,0.0548156949432518,0.0437726990349248,0.065856679824665
2013,"entre_2_baies",3,-17.47553333,-149.8370333,5.980000019,0.78,0.04,7.02482604929187,6.26792137809519,7.79574419094255,0.0365437966288345,0.0291817993566166,0.0439044532164434
2013,"gendron",1,-17.4995,-149.9275667,11.80000019,0.68,0.04,5.04797395015503,4.12178066020978,5.9005595574599,0.0365437966288345,0.0291817993566166,0.0439044532164434
2013,"gendron",2,-17.4995,-149.9275667,11.80000019,0.62,0.06,4.60256448396488,3.75809413136774,5.37992194944873,0.0548156949432518,0.0437726990349248,0.065856679824665
2013,"gendron",3,-17.4995,-149.9275667,11.80000019,0.7,0.08,5.19644377221842,4.24300950315713,6.07410542679695,0.073087593257669,0.0583635987132331,0.0878089064328867
2013,"haapiti",1,-17.55438333,-149.8977333,8.079999924,0.4,0,3.32613736219078,2.87659610196288,3.74642633318358,0,0,0
2013,"haapiti",2,-17.55438333,-149.8977333,8.079999924,0.54,0,4.49028543895755,3.88340473764989,5.05767554979783,0,0,0
2013,"haapiti",3,-17.55438333,-149.8977333,8.079999924,0.52,0,4.32397857084801,3.73957493255174,4.87035423313865,0,0,0
2013,"maatea",1,-17.5962,-149.7945,6.739999771,0.44,0.06,3.84161752766603,3.3810036115691,4.27977455718752,0.0548156949432518,0.0437726990349248,0.065856679824665
2013,"maatea",2,-17.5962,-149.7945,6.739999771,0.44,0,3.84161752766603,3.3810036115691,4.27977455718752,0,0,0
2013,"maatea",3,-17.5962,-149.7945,6.739999771,0.46,0.04,4.01623650619631,3.53468559391315,4.47430976433241,0.0365437966288345,0.0291817993566166,0.0439044532164434
2013,"motu_ahi",1,-17.54446667,-149.7755667,15,0.92,0,6.31968779938909,4.78004916942703,7.45283772261782,0,0,0
2013,"motu_ahi",2,-17.54446667,-149.7755667,15,0.94,0,6.45707231676712,4.88396328180588,7.61485593397908,0,0,0
2013,"motu_ahi",3,-17.54446667,-149.7755667,15,0.9,0,6.18230328201107,4.67613505704818,7.29081951125657,0,0,0
