P_CODE,A_SECTOR,SHELF,REEF_NAME,REPORT_YEAR,SITE_NO,TRANSECT_NO,START_DEPTH
RM,WH,O,HYDE REEF,1999,2,5,9
RM,WH,O,HYDE REEF,1999,3,1,8
RM,WH,O,HYDE REEF,1999,3,2,7
RM,WH,O,HYDE REEF,1999,3,2,8
RM,WH,O,HYDE REEF,1999,3,3,8
RM,WH,O,HYDE REEF,1999,3,4,8
RM,WH,O,HYDE REEF,1999,3,4,9
RM,WH,O,HYDE REEF,1999,3,5,8
RM,WH,O,HYDE REEF,2000,1,1,8
RM,WH,O,HYDE REEF,2000,1,2,7
RM,WH,O,HYDE REEF,2000,1,2,8
RM,WH,O,HYDE REEF,2000,1,3,6
RM,WH,O,HYDE REEF,2000,1,4,7
RM,WH,O,HYDE REEF,2000,1,4,8
RM,WH,O,HYDE REEF,2000,1,5,7
RM,WH,O,HYDE REEF,2000,1,5,8
RM,WH,O,HYDE REEF,2000,2,1,6
RM,WH,O,HYDE REEF,2000,2,1,8
RM,WH,O,HYDE REEF,2000,2,2,7
RM,WH,O,HYDE REEF,2000,2,2,8
RM,WH,O,HYDE REEF,2000,2,3,7
RM,WH,O,HYDE REEF,2000,2,4,7
RM,WH,O,HYDE REEF,2000,2,5,7
RM,WH,O,HYDE REEF,2000,2,5,8
RM,WH,O,HYDE REEF,2000,3,1,7
RM,WH,O,HYDE REEF,2000,3,1,8
RM,WH,O,HYDE REEF,2000,3,2,7
RM,WH,O,HYDE REEF,2000,3,3,7
RM,WH,O,HYDE REEF,2000,3,4,7
RM,WH,O,HYDE REEF,2000,3,5,7
RM,WH,O,HYDE REEF,2001,1,1,8
RM,WH,O,HYDE REEF,2001,1,1,9
RM,WH,O,HYDE REEF,2001,1,2,8
RM,WH,O,HYDE REEF,2001,1,2,9
RM,WH,O,HYDE REEF,2001,1,3,7
RM,WH,O,HYDE REEF,2001,1,4,7
RM,WH,O,HYDE REEF,2001,1,4,9
RM,WH,O,HYDE REEF,2001,1,5,8
RM,WH,O,HYDE REEF,2001,2,1,6
RM,WH,O,HYDE REEF,2001,2,1,7
RM,WH,O,HYDE REEF,2001,2,2,6
RM,WH,O,HYDE REEF,2001,2,2,7
RM,WH,O,HYDE REEF,2001,2,3,6
RM,WH,O,HYDE REEF,2001,2,3,7
RM,WH,O,HYDE REEF,2001,2,4,6
RM,WH,O,HYDE REEF,2001,2,4,7
RM,WH,O,HYDE REEF,2001,2,5,7
RM,WH,O,HYDE REEF,2001,3,1,8
RM,WH,O,HYDE REEF,2001,3,1,9
RM,WH,O,HYDE REEF,2001,3,2,7
RM,WH,O,HYDE REEF,2001,3,2,8
RM,WH,O,HYDE REEF,2001,3,3,8
RM,WH,O,HYDE REEF,2001,3,4,8
RM,WH,O,HYDE REEF,2001,3,5,9
RM,WH,O,HYDE REEF,2002,1,1,9
RM,WH,O,HYDE REEF,2002,1,2,8
